ID,Question,Category,Subcategory,Scorekey,Cuestionario
MIPQ0001,"En la escuela era bueno en matemáticas, física o química.",Inteligencias Múltiples,Logical-mathematical,"1,2,3,4,5", Personalidad de Cinco Factores (MIPQ)
MIPQ0002,A menudo pienso en mis propios sentimientos y emociones y busco razones para ellos.,Inteligencias Múltiples,Intrapersonal,"1,2,3,4,5", Personalidad de Cinco Factores (MIPQ)
MIPQ0003,Escribir es una forma natural para mí de expresarme.,Inteligencias Múltiples,Linguistic,"1,2,3,4,5", Personalidad de Cinco Factores (MIPQ)
MIPQ0004,"En la escuela, la geometría y varios tipos de tareas relacionadas con la percepción espacial eran más fáciles para mí que resolver ecuaciones.",Inteligencias Múltiples,Spatial,"1,2,3,4,5", Personalidad de Cinco Factores (MIPQ)
MIPQ0005,Después de escuchar una melodía una o dos veces puedo cantarla o silbarla con bastante precisión.,Inteligencias Múltiples,Musical,"1,2,3,4,5", Personalidad de Cinco Factores (MIPQ)
MIPQ0006,"Cuando escucho música, soy capaz de discernir instrumentos o reconocer melodías.",Inteligencias Múltiples,Musical,"1,2,3,4,5", Personalidad de Cinco Factores (MIPQ)
MIPQ0007,Soy capaz de analizar mis propios motivos y formas de acción.,Inteligencias Múltiples,Intrapersonal,"1,2,3,4,5", Personalidad de Cinco Factores (MIPQ)
MIPQ0008,Dedico tiempo a reflexionar regularmente sobre los temas importantes de la vida.,Inteligencias Múltiples,Intrapersonal,"1,2,3,4,5", Personalidad de Cinco Factores (MIPQ)
MIPQ0009,"Incluso en compañía extraña, encuentro fácilmente a alguien con quien hablar.",Inteligencias Múltiples,Interpersonal,"1,2,3,4,5", Personalidad de Cinco Factores (MIPQ)
MIPQ0010,Me llevo bien con diferentes tipos de personas.,Inteligencias Múltiples,Interpersonal,"1,2,3,4,5", Personalidad de Cinco Factores (MIPQ)
MIPQ0011,Soy útil,Inteligencias Múltiples,Interpersonal,"1,2,3,4,5", Personalidad de Cinco Factores (MIPQ)
MIPQ0012,Puedo trabajar y resolver problemas complejos.,Inteligencias Múltiples,Logical-mathematical,"1,2,3,4,5", Personalidad de Cinco Factores (MIPQ)
MIPQ0013,Hago contacto fácilmente con otras personas.,Inteligencias Múltiples,Interpersonal,"1,2,3,4,5", Personalidad de Cinco Factores (MIPQ)
MIPQ0014,"Puedo hacer fácilmente algo concreto con mis manos (por ejemplo, tejido y carpintería)",Inteligencias Múltiples,Bodily-kinesthetic,"1,2,3,4,5", Personalidad de Cinco Factores (MIPQ)
MIPQ0015,"Se me dan bien los juegos y la resolución de problemas, que requieren un pensamiento lógico.",Inteligencias Múltiples,Logical-mathematical,"1,2,3,4,5", Personalidad de Cinco Factores (MIPQ)
MIPQ0016,"Recientemente he escrito algo de lo que estoy especialmente orgulloso, o por lo que he recibido reconocimiento.",Inteligencias Múltiples,Linguistic,"1,2,3,4,5", Personalidad de Cinco Factores (MIPQ)
MIPQ0017,Me gusta leer literatura psicológica o filosófica para aumentar mi autoconocimiento.,Inteligencias Múltiples,Intrapersonal,"1,2,3,4,5", Personalidad de Cinco Factores (MIPQ)
MIPQ0018,Soy bueno para mostrar cómo hacer algo en la práctica.,Inteligencias Múltiples,Bodily-kinesthetic,"1,2,3,4,5", Personalidad de Cinco Factores (MIPQ)
MIPQ0019,Me resulta fácil conceptualizar patrones complejos y multidimensionales.,Inteligencias Múltiples,Spatial,"1,2,3,4,5", Personalidad de Cinco Factores (MIPQ)
MIPQ0020,"Puedo imaginar fácilmente cómo se ve una superficie (parque, terreno, etc.) visto desde arriba",Inteligencias Múltiples,Spatial,"1,2,3,4,5", Personalidad de Cinco Factores (MIPQ)
MIPQ0021,La aritmética mental es fácil para mí.,Inteligencias Múltiples,Logical-mathematical,"1,2,3,4,5", Personalidad de Cinco Factores (MIPQ)
MIPQ0022,Puedo mantener fácilmente el ritmo cuando toco una melodía.,Inteligencias Múltiples,Musical,"1,2,3,4,5", Personalidad de Cinco Factores (MIPQ)
MIPQ0023,Las metáforas y las expresiones verbales vívidas me ayudan a aprender de manera eficiente.,Inteligencias Múltiples,Linguistic,"1,2,3,4,5", Personalidad de Cinco Factores (MIPQ)
MIPQ0024,"En negociaciones y trabajo en grupo, soy capaz de apoyar al grupo para encontrar un consenso.",Inteligencias Múltiples,Interpersonal,"1,2,3,4,5", Personalidad de Cinco Factores (MIPQ)
MIPQ0025,Noto inmediatamente si una melodía está desafinada.,Inteligencias Múltiples,Musical,"1,2,3,4,5", Personalidad de Cinco Factores (MIPQ)
MIPQ0026,"Cuando leo, formo imágenes o diseños ilustrativos en mi mente.",Inteligencias Múltiples,Spatial,"1,2,3,4,5", Personalidad de Cinco Factores (MIPQ)
MIPQ0027,Yo era bueno en las manualidades en la escuela.,Inteligencias Múltiples,Bodily-kinesthetic,"1,2,3,4,5", Personalidad de Cinco Factores (MIPQ)
MIPQ0028,"En la escuela, los estudios en el idioma nativo fueron fáciles para mí.",Inteligencias Múltiples,Linguistic,"1,2,3,4,5", Personalidad de Cinco Factores (MIPQ)
