ID,Question,Category,Subcategory,Scorekey,Cuestionario
MIPQ0001,"En la escuela era bueno en matemáticas, física o química.",Inteligencias Multiples,L�gico-matematico,"1,2,3,4,5", Personalidad de Cinco Factores (MIPQ)
MIPQ0002,A menudo pienso en mis propios sentimientos y emociones y busco razones para ellos.,Inteligencias Multiples,Intrapersonal,"1,2,3,4,5", Personalidad de Cinco Factores (MIPQ)
MIPQ0003,Escribir es una forma natural para mí de expresarme.,Inteligencias Multiples,Ling��stico,"1,2,3,4,5", Personalidad de Cinco Factores (MIPQ)
MIPQ0004,"En la escuela, la geometría y varios tipos de tareas relacionadas con la percepción espacial eran más fáciles para mí que resolver ecuaciones.",Inteligencias Multiples,Spatial,"1,2,3,4,5", Personalidad de Cinco Factores (MIPQ)
MIPQ0005,Después de escuchar una melodía una o dos veces puedo cantarla o silbarla con bastante precisión.,Inteligencias Multiples,Musical,"1,2,3,4,5", Personalidad de Cinco Factores (MIPQ)
MIPQ0006,"Cuando escucho música, soy capaz de discernir instrumentos o reconocer melodías.",Inteligencias Multiples,Musical,"1,2,3,4,5", Personalidad de Cinco Factores (MIPQ)
MIPQ0007,Soy capaz de analizar mis propios motivos y formas de acción.,Inteligencias Multiples,Intrapersonal,"1,2,3,4,5", Personalidad de Cinco Factores (MIPQ)
MIPQ0008,Dedico tiempo a reflexionar regularmente sobre los temas importantes de la vida.,Inteligencias Multiples,Intrapersonal,"1,2,3,4,5", Personalidad de Cinco Factores (MIPQ)
MIPQ0009,"Incluso en compañía extraña, encuentro fácilmente a alguien con quien hablar.",Inteligencias Multiples,Interpersonal,"1,2,3,4,5", Personalidad de Cinco Factores (MIPQ)
MIPQ0010,Me llevo bien con diferentes tipos de personas.,Inteligencias Multiples,Interpersonal,"1,2,3,4,5", Personalidad de Cinco Factores (MIPQ)
MIPQ0011,Soy útil,Inteligencias Multiples,Interpersonal,"1,2,3,4,5", Personalidad de Cinco Factores (MIPQ)
MIPQ0012,Puedo trabajar y resolver problemas complejos.,Inteligencias Multiples,L�gico-matematico,"1,2,3,4,5", Personalidad de Cinco Factores (MIPQ)
MIPQ0013,Hago contacto fácilmente con otras personas.,Inteligencias Multiples,Interpersonal,"1,2,3,4,5", Personalidad de Cinco Factores (MIPQ)
MIPQ0014,"Puedo hacer fácilmente algo concreto con mis manos (por ejemplo, tejido y carpintería)",Inteligencias Multiples,Corporal-cinest�sico,"1,2,3,4,5", Personalidad de Cinco Factores (MIPQ)
MIPQ0015,"Se me dan bien los juegos y la resolución de problemas, que requieren un pensamiento lógico.",Inteligencias Multiples,Logical-mathematical,"1,2,3,4,5", Personalidad de Cinco Factores (MIPQ)
MIPQ0016,"Recientemente he escrito algo de lo que estoy especialmente orgulloso, o por lo que he recibido reconocimiento.",Inteligencias Multiples,Ling��stico,"1,2,3,4,5", Personalidad de Cinco Factores (MIPQ)
MIPQ0017,Me gusta leer literatura psicológica o filosófica para aumentar mi autoconocimiento.,Inteligencias Multiples,Intrapersonal,"1,2,3,4,5", Personalidad de Cinco Factores (MIPQ)
MIPQ0018,Soy bueno para mostrar cómo hacer algo en la práctica.,Inteligencias Multiples,Corporal-cinest�sico,"1,2,3,4,5", Personalidad de Cinco Factores (MIPQ)
MIPQ0019,Me resulta fácil conceptualizar patrones complejos y multidimensionales.,Inteligencias Multiples,Espacial,"1,2,3,4,5", Personalidad de Cinco Factores (MIPQ)
MIPQ0020,"Puedo imaginar fácilmente cómo se ve una superficie (parque, terreno, etc.) visto desde arriba",Inteligencias Multiples,Espacial,"1,2,3,4,5", Personalidad de Cinco Factores (MIPQ)
MIPQ0021,La aritmética mental es fácil para mí.,Inteligencias Multiples,L�gico-matematico,"1,2,3,4,5", Personalidad de Cinco Factores (MIPQ)
MIPQ0022,Puedo mantener fácilmente el ritmo cuando toco una melodía.,Inteligencias Multiples,Musical,"1,2,3,4,5", Personalidad de Cinco Factores (MIPQ)
MIPQ0023,Las metáforas y las expresiones verbales vívidas me ayudan a aprender de manera eficiente.,Inteligencias Multiples,Ling��stico,"1,2,3,4,5", Personalidad de Cinco Factores (MIPQ)
MIPQ0024,"En negociaciones y trabajo en grupo, soy capaz de apoyar al grupo para encontrar un consenso.",Inteligencias Multiples,Interpersonal,"1,2,3,4,5", Personalidad de Cinco Factores (MIPQ)
MIPQ0025,Noto inmediatamente si una melodía está desafinada.,Inteligencias Multiples,Musical,"1,2,3,4,5", Personalidad de Cinco Factores (MIPQ)
MIPQ0026,"Cuando leo, formo imágenes o diseños ilustrativos en mi mente.",Inteligencias Multiples,Espacial,"1,2,3,4,5", Personalidad de Cinco Factores (MIPQ)
MIPQ0027,Yo era bueno en las manualidades en la escuela.,Inteligencias Multiples,Corporal-cinest�sico,"1,2,3,4,5", Personalidad de Cinco Factores (MIPQ)
MIPQ0028,"En la escuela, los estudios en el idioma nativo fueron fáciles para mí.",Inteligencias Multiples,Ling��stico,"1,2,3,4,5", Personalidad de Cinco Factores (MIPQ)
